id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
AGR-0101-CN-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东亚,中国,CN,country,general,无要求/中学,16-35,global,2.8,1.8,3.7,7.6,5.8,9.3,4.2,5.2,3.3,4.6,5.1,5.3,4.2,2.7,4.2,3.8,3.4,1.8,3.6,3.7,0.5,6.9,4.0,5.7,6.4,4.6,6.9,3.9,7.8,1.2,7.8,2.6,2.3,3.3,0,0,→,2026-2030,4.76,中国粮食作物种植者：薪资水平偏低，AI替代风险较高，受经济周期影响大,"China Grain Farmer: relatively low pay, high AI displacement risk, highly cyclical",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-JP-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东亚,日本,JP,country,general,无要求/中学,16-35,global,3.1,1.9,3.2,7.8,5.2,8.0,4.1,5.0,3.8,4.6,5.6,6.5,4.7,3.0,4.6,3.5,3.2,1.6,3.2,3.9,0.4,6.7,4.6,5.4,6.5,4.0,7.2,4.2,6.6,1.3,7.9,3.1,2.1,3.0,0,-1,→,2026-2030,4.79,日本粮食作物种植者：薪资水平偏低，AI替代风险较高，受经济周期影响大,"Japan Grain Farmer: relatively low pay, high AI displacement risk, highly cyclical",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-KR-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东亚,韩国,KR,country,general,无要求/中学,16-35,global,3.0,2.3,3.0,7.6,5.2,7.8,4.1,5.2,3.7,4.4,5.6,6.1,4.6,3.2,4.1,3.1,3.0,1.6,3.1,3.6,0.2,7.0,4.3,5.4,6.3,4.0,6.5,3.9,6.4,1.2,8.0,3.0,2.7,3.4,0,-1,→,2026-2030,4.68,韩国粮食作物种植者：薪资水平偏低，AI替代风险较高，受经济周期影响大,"South Korea Grain Farmer: relatively low pay, high AI displacement risk, highly cyclical",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-TW-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东亚,中国台湾地区,TW,region,general,无要求/中学,16-35,global,2.9,2.1,3.0,7.6,5.0,8.0,3.7,5.2,3.3,4.4,4.9,6.1,4.8,3.3,4.4,3.4,2.9,1.8,3.1,3.1,0.4,6.9,4.5,5.2,6.5,4.9,6.9,4.1,6.7,1.1,8.1,2.9,2.5,3.2,0,-1,→,2026-2030,4.65,中国台湾地区粮食作物种植者：薪资水平偏低，供过于求，AI替代风险较高,"Taiwan (China) Grain Farmer: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-HK-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东亚,中国香港地区,HK,region,general,无要求/中学,16-35,global,3.2,2.4,2.8,7.7,4.1,6.7,3.2,4.2,3.5,4.5,5.2,6.2,4.8,3.0,4.7,2.7,2.9,1.8,3.5,3.4,0.3,6.8,4.5,5.1,6.4,4.6,7.0,3.8,7.7,1.4,7.8,3.1,3.5,3.3,-1,-1,→,2026-2030,4.55,中国香港地区粮食作物种植者：薪资水平偏低，供过于求，AI替代风险较高,"Hong Kong (China) Grain Farmer: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-SG-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东南亚,新加坡,SG,country,general,无要求/中学,16-35,global,3.3,2.0,2.9,7.8,4.2,7.1,3.6,5.3,3.6,4.5,6.2,6.7,5.0,3.8,4.8,2.9,2.6,1.7,3.1,3.2,0.7,6.8,5.0,5.4,6.2,5.0,6.7,4.2,6.3,1.4,8.0,2.8,3.7,3.2,-1,-1,→,2026-2030,4.76,新加坡粮食作物种植者：薪资水平偏低，供过于求，AI替代风险较高,"Singapore Grain Farmer: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-TH-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东南亚,泰国,TH,country,general,无要求/中学,16-35,global,2.9,1.7,3.8,7.8,6.2,9.3,4.3,4.3,2.6,4.6,5.3,5.3,4.1,4.1,5.3,3.9,3.3,2.2,3.3,3.4,0.5,6.9,4.9,5.5,6.8,4.5,7.0,4.2,8.0,1.1,7.8,2.9,2.3,2.9,0,-1,→,2026-2030,4.79,泰国粮食作物种植者：薪资水平偏低，AI替代风险较高，体力要求高,"Thailand Grain Farmer: relatively low pay, high AI displacement risk, high physical demand",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-VN-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东南亚,越南,VN,country,general,无要求/中学,16-35,global,3.3,2.1,4.2,7.5,6.1,9.4,4.1,3.7,2.4,4.7,4.6,5.1,4.1,4.0,4.9,3.7,3.3,1.9,3.7,3.4,0.4,6.9,4.5,5.7,6.8,4.4,6.8,3.7,8.2,0.9,8.3,2.6,2.5,2.8,0,-1,→,2026-2030,4.69,越南粮食作物种植者：薪资水平偏低，AI替代风险较高，体力要求高,"Vietnam Grain Farmer: relatively low pay, high AI displacement risk, high physical demand",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-ID-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东南亚,印度尼西亚,ID,country,general,无要求/中学,16-35,global,3.1,2.1,4.0,7.4,6.4,9.4,4.0,3.4,2.2,4.8,4.6,4.9,4.2,4.1,4.8,3.7,3.3,2.4,3.7,3.4,0.7,7.4,4.7,5.4,6.5,4.6,6.9,3.9,7.9,0.7,8.0,3.2,1.8,3.2,0,-1,→,2026-2030,4.66,印度尼西亚粮食作物种植者：薪资水平偏低，供过于求，AI替代风险较高,"Indonesia Grain Farmer: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
AGR-0101-MY-general,农业、资源与环境,AGR,种植,粮食作物种植者,Grain Farmer,6111,45-2091.00,东南亚,马来西亚,MY,country,general,无要求/中学,16-35,global,3.2,2.0,3.7,7.7,5.8,9.2,4.4,4.4,2.7,4.3,5.1,5.3,4.3,4.2,5.3,3.4,3.2,1.9,3.7,3.5,0.5,6.8,4.8,5.5,6.4,4.4,7.0,3.8,8.0,1.2,8.0,2.9,3.0,3.0,0,-1,→,2026-2030,4.77,马来西亚粮食作物种植者：薪资水平偏低，AI替代风险较高，体力要求高,"Malaysia Grain Farmer: relatively low pay, high AI displacement risk, high physical demand",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
