id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
EDU-0101-CN-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东亚,中国,CN,country,general,本科/教育学,22-28,global,5.6,5.2,4.2,9.0,8.6,10.0,5.7,7.1,4.9,5.1,10.0,9.2,3.7,2.4,2.8,5.9,5.1,0.9,8.3,6.7,5.7,4.7,5.4,7.2,4.2,7.7,6.9,8.8,3.9,6.7,0.8,5.9,3.5,2.1,2,1,→,2035+,6.25,中国小学教师：AI替代抗性强，加班文化严重，就业稳定,"China Elementary School Teacher: strong AI resistance, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-JP-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东亚,日本,JP,country,general,本科/教育学,22-28,global,5.1,5.6,3.2,8.4,5.2,7.9,6.1,6.5,7.0,6.4,8.2,9.0,5.5,5.2,3.3,6.1,5.5,1.2,7.7,6.9,3.9,5.0,5.7,8.0,4.2,6.5,7.3,8.8,4.0,6.4,1.8,5.1,3.5,2.5,0,0,→,2035+,6.16,日本小学教师：AI替代抗性强，就业稳定,"Japan Elementary School Teacher: strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-KR-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东亚,韩国,KR,country,general,本科/教育学,22-28,global,5.6,5.8,4.4,8.7,6.0,7.3,5.9,6.5,8.2,7.4,8.2,9.2,4.5,3.2,3.6,5.9,5.1,0.9,7.9,6.7,3.0,5.5,5.9,7.4,4.0,5.0,6.3,8.2,4.5,6.0,2.0,5.5,3.7,2.1,0,0,→,2035+,6.17,韩国小学教师：薪资回报高，AI替代抗性强，加班文化严重,"South Korea Elementary School Teacher: high compensation, strong AI resistance, heavy overtime culture",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-TW-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东亚,中国台湾地区,TW,region,general,本科/教育学,22-28,global,5.3,5.9,3.8,8.7,5.2,7.5,5.1,6.5,5.5,5.4,7.7,9.5,5.7,5.4,3.3,5.9,5.3,1.2,7.7,5.7,2.4,5.0,6.7,7.2,3.8,7.1,6.7,8.5,3.9,6.4,1.8,5.1,5.1,2.3,0,0,→,2035+,5.97,中国台湾地区小学教师：AI替代抗性强，就业稳定,"Taiwan (China) Elementary School Teacher: strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-HK-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东亚,中国香港地区,HK,region,general,本科/教育学,22-28,global,5.0,5.9,3.8,8.6,4.6,7.5,5.5,7.3,7.6,6.1,7.7,9.5,4.5,4.7,3.1,6.3,5.3,0.9,8.4,5.9,3.9,6.0,5.9,8.2,3.2,9.2,6.5,8.8,4.0,6.3,1.4,5.5,6.3,2.1,0,0,→,2035+,6.34,中国香港地区小学教师：AI替代抗性强，就业稳定,"Hong Kong (China) Elementary School Teacher: strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-SG-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东南亚,新加坡,SG,country,general,本科/教育学,22-28,global,5.4,5.5,4.2,8.9,6.4,7.7,5.9,6.9,9.1,7.4,8.9,9.7,4.7,5.9,3.8,5.7,5.5,1.1,8.0,8.3,5.1,6.2,6.9,8.8,4.0,8.6,7.3,8.5,3.7,7.0,0.8,5.1,6.9,1.9,0,1,→,2035+,6.8,新加坡小学教师：薪资回报高，AI替代抗性强，就业稳定,"Singapore Elementary School Teacher: high compensation, strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-TH-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东南亚,泰国,TH,country,general,本科/教育学,22-28,global,4.8,5.6,4.2,8.3,5.6,8.5,4.9,5.1,2.2,4.1,7.4,8.7,4.7,6.2,5.1,5.5,4.5,1.8,8.3,6.3,1.5,5.5,6.7,7.6,3.4,7.7,6.7,8.5,4.2,6.0,1.2,4.7,3.3,2.9,1,0,→,2035+,5.7,泰国小学教师：薪资水平偏低，AI替代抗性强,"Thailand Elementary School Teacher: relatively low pay, strong AI resistance",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-VN-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东南亚,越南,VN,country,general,本科/教育学,22-28,global,5.1,5.2,4.4,8.9,7.0,9.3,4.7,4.9,0.4,3.9,8.9,9.0,5.5,5.7,3.8,5.9,5.1,1.7,7.9,6.3,2.1,6.2,6.4,7.8,3.8,7.1,7.3,8.5,3.7,5.8,1.2,4.7,3.5,2.5,1,0,→,2035+,5.78,越南小学教师：薪资水平偏低，AI替代抗性强，就业稳定,"Vietnam Elementary School Teacher: relatively low pay, strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-ID-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东南亚,印度尼西亚,ID,country,general,本科/教育学,22-28,global,5.0,5.5,4.0,8.6,8.0,10.0,4.5,3.1,2.2,3.4,9.2,8.7,4.7,5.7,4.3,4.7,4.1,2.1,7.6,5.1,2.1,5.7,6.2,7.4,3.4,6.2,6.7,8.4,4.2,5.7,1.8,4.9,3.1,3.3,2,0,→,2035+,5.53,印度尼西亚小学教师：薪资水平偏低，AI替代抗性强，就业稳定,"Indonesia Elementary School Teacher: relatively low pay, strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-MY-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东南亚,马来西亚,MY,country,general,本科/教育学,22-28,global,4.5,5.8,3.6,8.4,7.0,9.1,4.7,5.1,4.0,4.4,8.2,9.0,5.2,6.7,3.6,5.3,4.5,1.7,8.0,5.3,3.0,5.0,5.9,6.8,3.6,7.1,6.9,9.0,3.7,6.0,2.0,5.5,4.3,3.1,1,0,→,2035+,5.82,马来西亚小学教师：薪资水平偏低，AI替代抗性强，就业稳定,"Malaysia Elementary School Teacher: relatively low pay, strong AI resistance, stable employment",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
EDU-0101-PH-general,教育与学术,EDU,K12教育,小学教师,Elementary School Teacher,2341,25-2021.00,东南亚,菲律宾,PH,country,general,本科/教育学,22-28,global,5.0,5.6,4.0,8.1,7.0,10.0,4.3,3.9,0.4,3.9,6.7,8.7,5.5,5.4,3.8,4.7,4.7,2.0,8.3,5.5,0.9,5.5,6.4,6.8,2.6,8.0,7.3,8.4,3.7,5.4,2.0,4.5,4.7,2.9,1,0,→,2035+,5.44,菲律宾小学教师：薪资水平偏低，AI替代抗性强,"Philippines Elementary School Teacher: relatively low pay, strong AI resistance",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026
