id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source
ENG-0101-CN-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东亚,中国,CN,country,general,本科/硕士,22-28,global,5.8,6.3,6.1,7.4,7.0,7.6,5.9,6.2,7.5,6.7,7.2,7.4,5.2,3.9,4.3,7.0,6.2,1.4,6.5,6.9,3.5,5.8,5.2,7.0,4.7,4.5,6.4,5.0,3.6,2.7,5.4,3.6,6.4,2.9,2,2,↑,2032-2038,6.03,中国机械设计工程师：发展平稳,China Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-JP-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东亚,日本,JP,country,general,本科/硕士,22-28,global,6.3,6.0,6.3,7.8,6.8,7.6,6.4,6.2,7.3,6.5,8.2,8.1,5.6,4.6,4.2,6.7,6.1,1.3,6.9,7.1,4.1,6.2,5.5,6.8,4.9,4.2,6.3,4.8,3.8,3.3,5.3,3.9,6.1,2.9,2,2,↑,2032-2038,6.16,日本机械设计工程师：就业稳定,Japan Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-KR-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东亚,韩国,KR,country,general,本科/硕士,22-28,global,6.1,6.1,5.7,7.4,6.8,7.4,6.3,6.5,7.3,6.4,7.7,7.9,5.2,4.6,4.3,6.6,5.9,1.4,6.7,7.0,4.1,5.8,5.0,6.9,4.5,4.3,6.7,5.1,3.6,3.0,5.4,3.8,6.7,3.1,2,2,↑,2032-2038,6.07,韩国机械设计工程师：就业稳定,South Korea Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-TW-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东亚,中国台湾地区,TW,region,general,本科/硕士,22-28,global,6.1,6.1,5.8,7.3,6.8,6.9,5.9,6.2,6.8,6.2,7.1,7.7,5.5,5.0,4.8,6.4,5.8,1.4,6.7,6.7,4.1,6.1,5.4,6.9,4.4,4.6,6.3,5.0,3.4,3.4,5.3,4.2,6.9,3.2,2,2,↑,2032-2038,6.0,中国台湾地区机械设计工程师：发展平稳,Taiwan (China) Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-HK-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东亚,中国香港地区,HK,region,general,本科/硕士,22-28,global,6.2,6.3,5.7,7.9,5.6,6.0,5.5,5.7,7.4,6.5,7.6,8.0,5.7,4.9,4.7,6.4,5.2,1.6,6.3,7.0,4.1,5.8,5.6,6.7,4.2,5.2,6.3,5.3,3.7,3.3,5.3,3.8,7.9,3.5,2,0,→,2032-2038,5.96,中国香港地区机械设计工程师：就业稳定,Hong Kong (China) Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-SG-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东南亚,新加坡,SG,country,general,本科/硕士,22-28,global,6.1,6.4,6.0,8.2,6.1,6.8,5.9,6.5,7.9,6.6,7.9,8.0,6.0,5.1,4.7,6.7,5.6,1.1,6.3,7.2,4.1,6.1,6.0,6.6,4.6,5.2,6.6,5.0,3.2,3.4,5.0,3.8,7.7,3.2,2,1,→,2032-2038,6.21,新加坡机械设计工程师：就业稳定,Singapore Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-TH-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东南亚,泰国,TH,country,general,本科/硕士,22-28,global,6.2,5.9,5.6,7.5,5.9,6.7,5.1,5.3,5.7,5.5,7.1,7.3,5.2,5.6,5.4,6.6,5.5,1.6,6.5,6.6,4.2,5.6,5.6,6.4,4.4,4.5,6.1,5.0,3.8,2.7,5.6,4.1,6.2,3.1,2,1,→,2032-2038,5.77,泰国机械设计工程师：发展平稳,Thailand Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-VN-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东南亚,越南,VN,country,general,本科/硕士,22-28,global,5.8,6.0,5.3,7.5,6.3,6.5,5.6,5.7,5.4,5.6,6.8,7.2,4.9,5.3,5.1,6.7,5.6,1.5,6.3,6.2,3.7,5.7,5.5,6.7,4.6,4.3,6.4,5.1,3.4,3.0,5.8,3.7,6.5,3.1,2,1,→,2032-2038,5.74,越南机械设计工程师：发展平稳,Vietnam Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-ID-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东南亚,印度尼西亚,ID,country,general,本科/硕士,22-28,global,5.9,5.9,5.2,7.6,5.7,6.5,5.3,5.7,5.7,5.4,6.4,7.2,5.2,5.5,4.7,6.7,5.7,1.7,6.8,6.1,3.9,6.1,5.6,6.2,4.8,4.1,6.3,4.8,3.5,2.8,5.4,3.7,5.7,3.3,2,1,→,2032-2038,5.7,印度尼西亚机械设计工程师：发展平稳,Indonesia Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-MY-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东南亚,马来西亚,MY,country,general,本科/硕士,22-28,global,5.9,6.2,5.5,7.9,6.1,6.7,5.3,5.6,6.3,5.8,7.4,7.4,5.1,5.4,5.2,6.5,5.3,1.4,6.3,6.5,4.1,5.7,5.9,6.6,4.6,4.4,6.8,5.3,3.2,3.0,5.4,3.9,6.6,2.9,2,1,→,2032-2038,5.88,马来西亚机械设计工程师：发展平稳,Malaysia Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
