id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
FIN-0101-CN-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东亚,中国,CN,country,general,大专/本科,20-25,global,2.5,2.8,6.2,7.3,8.5,9.4,3.6,6.4,5.2,7.0,7.7,9.2,5.3,2.5,2.6,6.8,6.5,1.3,2.3,5.2,5.8,4.8,3.8,5.5,4.5,4.5,5.2,6.7,1.2,4.1,4.3,2.5,5.1,4.7,-1,-1,→,2025-2028,5.69,中国银行柜员：供过于求，AI替代风险较高，加班文化严重,"China Bank Teller: oversupply of talent, high AI displacement risk, heavy overtime culture",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-JP-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东亚,日本,JP,country,general,大专/本科,20-25,global,2.3,3.6,5.6,8.1,7.1,9.2,4.8,6.2,5.8,7.5,8.5,9.2,5.3,3.3,2.9,6.0,5.5,0.9,2.4,5.6,4.0,5.1,3.8,6.5,4.5,4.2,5.6,7.1,0.9,4.7,4.7,3.5,5.3,4.1,-1,-2,↓,2025-2028,5.79,日本银行柜员：AI替代风险较高，加班文化严重，就业稳定,"Japan Bank Teller: high AI displacement risk, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-KR-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东亚,韩国,KR,country,general,大专/本科,20-25,global,2.8,3.1,6.6,7.5,7.7,8.4,4.4,4.8,6.4,7.5,8.0,9.2,6.3,3.3,3.4,5.6,5.7,1.3,2.5,4.8,4.3,4.8,3.6,5.3,4.9,3.6,5.2,7.0,1.5,4.5,4.9,3.1,6.3,4.7,-1,-2,↓,2025-2028,5.68,韩国银行柜员：AI替代风险较高，加班文化严重，就业稳定,"South Korea Bank Teller: high AI displacement risk, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-TW-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东亚,中国台湾地区,TW,region,general,大专/本科,20-25,global,2.7,3.4,6.2,7.9,6.5,8.8,3.6,5.2,3.4,6.5,8.2,9.0,6.6,4.5,4.4,6.6,5.7,1.8,2.9,4.2,4.6,4.8,3.8,5.7,4.1,5.1,6.0,7.0,0.9,4.2,5.3,3.9,6.1,4.3,-1,-2,↓,2025-2028,5.6,中国台湾地区银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Taiwan (China) Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-HK-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东亚,中国香港地区,HK,region,general,大专/本科,20-25,global,2.2,3.0,6.6,8.4,8.5,10.0,4.8,6.4,7.6,8.5,8.0,9.0,5.6,3.5,3.6,6.6,6.3,0.9,2.3,6.4,5.2,5.1,3.8,5.5,4.9,5.4,5.8,7.3,0.9,4.1,4.9,3.9,8.7,3.9,-1,-1,→,2025-2028,6.29,中国香港地区银行柜员：AI替代风险较高，加班文化严重，就业稳定,"Hong Kong (China) Bank Teller: high AI displacement risk, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-SG-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东南亚,新加坡,SG,country,general,大专/本科,20-25,global,2.5,3.1,7.2,7.9,8.5,9.6,4.8,7.0,6.7,9.0,8.5,9.5,6.3,3.5,3.6,6.8,6.7,1.2,2.1,6.2,5.2,6.1,5.1,5.3,4.9,7.8,6.0,6.7,0.7,4.7,4.5,3.5,8.1,4.1,-1,-1,→,2025-2028,6.38,新加坡银行柜员：AI替代风险较高，加班文化严重，就业稳定,"Singapore Bank Teller: high AI displacement risk, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-TH-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东南亚,泰国,TH,country,general,大专/本科,20-25,global,2.5,2.8,5.8,6.9,5.9,7.2,3.0,4.4,1.0,4.7,6.2,8.7,6.6,5.5,4.6,6.2,5.5,1.5,2.8,2.8,4.0,5.6,5.3,5.7,3.9,6.0,5.4,7.4,1.0,4.1,5.1,4.1,5.1,4.5,-1,-2,↓,2025-2028,5.22,泰国银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Thailand Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-VN-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东南亚,越南,VN,country,general,大专/本科,20-25,global,2.1,2.8,4.8,6.6,4.9,6.6,2.4,3.2,0.7,4.5,5.5,8.7,5.8,4.3,4.6,6.0,5.3,2.1,2.4,2.6,4.3,5.1,4.8,5.5,4.5,4.5,5.4,7.4,0.7,4.1,5.7,3.3,4.7,4.5,-1,-2,↓,2025-2028,4.8,越南银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Vietnam Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-ID-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东南亚,印度尼西亚,ID,country,general,大专/本科,20-25,global,2.2,2.8,5.0,6.7,6.1,6.8,3.0,3.6,0.4,4.5,5.7,9.0,5.3,5.8,4.4,5.2,5.5,2.1,2.1,2.8,5.8,4.6,4.6,5.3,4.1,3.9,5.2,7.3,0.9,3.9,5.5,3.1,4.1,5.3,-1,-2,↓,2025-2028,4.85,印度尼西亚银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Indonesia Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-MY-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东南亚,马来西亚,MY,country,general,大专/本科,20-25,global,2.2,2.7,5.2,7.8,6.3,7.8,3.6,4.4,1.9,6.0,6.7,8.7,6.3,5.0,4.1,6.2,5.7,1.5,2.5,3.6,5.5,6.3,5.6,5.5,4.5,4.5,5.8,6.8,0.6,4.4,5.1,3.1,6.9,4.9,-1,-2,↓,2025-2028,5.44,马来西亚银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Malaysia Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-PH-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,东南亚,菲律宾,PH,country,general,大专/本科,20-25,global,2.2,3.4,5.0,6.6,5.3,6.6,2.4,3.8,0.1,3.5,6.0,8.7,6.6,4.0,4.9,5.6,5.1,1.9,2.5,2.8,3.7,4.8,5.3,5.5,4.5,6.6,6.2,6.5,1.5,3.8,4.7,2.9,6.7,5.1,-1,-2,↓,2025-2028,4.88,菲律宾银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Philippines Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-IN-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,南亚,印度,IN,country,general,大专/本科,20-25,global,2.8,2.8,6.4,7.5,6.9,7.8,3.2,4.6,2.2,6.0,7.0,9.0,5.3,3.3,4.1,6.4,5.3,1.2,2.6,4.4,5.5,5.3,4.6,5.7,4.1,2.7,5.2,7.3,1.3,3.5,4.7,2.7,7.1,5.1,-1,-1,→,2025-2028,5.39,印度银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"India Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-PK-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,南亚,巴基斯坦,PK,country,general,大专/本科,20-25,global,2.1,2.5,4.0,6.7,4.7,5.6,1.8,3.8,0.1,3.2,4.2,8.5,5.6,4.0,4.4,5.6,4.3,1.9,2.9,1.8,3.7,5.3,4.6,5.3,3.7,0.6,5.8,6.7,0.6,3.3,5.3,3.7,4.3,5.5,-2,-2,↓,2025-2028,4.45,巴基斯坦银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Pakistan Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-BD-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,南亚,孟加拉国,BD,country,general,大专/本科,20-25,global,2.2,2.8,4.6,7.0,4.7,6.0,2.0,3.2,0.0,3.2,5.0,8.7,6.3,4.5,4.6,5.0,4.7,2.1,3.0,1.4,4.6,4.6,4.3,4.3,2.9,1.8,5.4,6.5,1.0,3.5,5.9,2.9,4.5,5.3,-2,-2,↓,2025-2028,4.44,孟加拉国银行柜员：薪资水平偏低，供过于求，AI替代风险较高,"Bangladesh Bank Teller: relatively low pay, oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-AE-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,中亚/西亚,阿联酋,AE,country,general,大专/本科,20-25,global,2.3,3.4,6.4,8.4,7.5,9.8,4.8,6.8,6.7,7.7,7.2,9.5,6.3,4.8,5.4,6.2,6.5,1.2,2.1,5.2,4.3,5.1,4.8,5.7,5.3,4.8,6.2,7.1,1.2,4.1,4.5,2.9,7.7,4.1,-1,-1,→,2025-2028,6.15,阿联酋银行柜员：AI替代风险较高,United Arab Emirates Bank Teller: high AI displacement risk,AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-IL-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,中亚/西亚,以色列,IL,country,general,大专/本科,20-25,global,2.7,2.8,6.8,7.5,7.5,7.8,3.6,4.6,5.8,7.0,7.2,9.5,6.1,5.5,4.9,6.2,5.1,1.3,2.0,4.8,6.1,4.8,5.6,5.9,4.3,8.1,6.2,6.7,1.3,4.2,4.3,3.5,7.5,4.3,-1,-1,→,2025-2028,5.95,以色列银行柜员：供过于求，AI替代风险较高,"Israel Bank Teller: oversupply of talent, high AI displacement risk",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
FIN-0101-SA-general,金融与商业,FIN,银行,银行柜员,Bank Teller,4211,43-3071.00,中亚/西亚,沙特阿拉伯,SA,country,general,大专/本科,20-25,global,2.3,2.8,6.2,7.9,7.1,8.8,4.0,4.6,4.9,7.0,7.2,9.0,6.3,5.5,4.4,5.6,5.7,1.5,2.6,5.2,4.6,5.8,4.1,5.5,4.9,1.8,6.0,6.5,1.3,4.4,4.7,2.9,5.1,4.1,-1,-2,↓,2025-2028,5.65,沙特阿拉伯银行柜员：供过于求，AI替代风险较高，近年需求下降,"Saudi Arabia Bank Teller: oversupply of talent, high AI displacement risk, declining demand",AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026
