id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source
GOV-0101-CN-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东亚,中国,CN,country,general,本科/硕士,22-30,global,5.8,7.6,4.7,9.4,5.3,6.1,4.1,3.7,5.6,5.4,9.8,9.1,7.0,6.0,5.4,5.5,4.3,2.6,6.5,8.9,2.8,3.6,5.9,6.7,1.5,5.5,6.5,6.7,0.9,9.4,1.1,0.7,2.8,7.9,0,1,→,2032-2038,5.39,中国中央政府公务员：就业极其稳定，准入门槛高,"China Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-JP-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东亚,日本,JP,country,general,本科/硕士,22-30,global,6.2,7.1,4.6,9.5,4.7,5.3,3.8,3.3,6.1,5.7,10.0,9.2,7.4,6.4,5.9,5.8,4.2,2.1,6.8,9.1,2.8,4.1,6.1,6.8,1.8,5.6,6.8,7.2,0.8,8.9,1.5,0.9,2.8,8.0,0,0,→,2032-2038,5.53,日本中央政府公务员：就业极其稳定，准入门槛高,"Japan Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-KR-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东亚,韩国,KR,country,general,本科/硕士,22-30,global,6.2,7.7,4.0,9.5,4.8,5.0,4.0,3.5,5.9,5.8,10.0,9.0,7.2,5.9,5.5,5.9,4.2,2.5,6.5,9.5,2.9,4.0,6.3,6.6,1.7,5.4,6.7,7.1,1.2,9.1,1.4,1.1,3.0,7.8,0,0,→,2032-2038,5.43,韩国中央政府公务员：就业极其稳定，准入门槛高,"South Korea Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-TW-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东亚,中国台湾地区,TW,region,general,本科/硕士,22-30,global,6.1,7.1,4.1,9.3,4.2,4.9,3.9,3.3,5.8,5.1,10.0,9.1,7.6,6.2,5.8,5.7,4.3,2.4,6.3,9.0,2.6,4.2,6.2,6.7,1.5,5.5,7.0,7.2,1.1,8.9,1.3,1.4,3.0,7.7,0,0,→,2032-2038,5.41,中国台湾地区中央政府公务员：就业极其稳定，准入门槛高,"Taiwan (China) Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-HK-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东亚,中国香港地区,HK,region,general,本科/硕士,22-30,global,5.8,7.4,3.9,9.3,4.3,4.4,3.6,3.1,6.7,5.5,10.0,9.1,7.3,6.2,6.0,5.9,4.3,2.2,6.8,8.8,3.1,4.3,6.0,6.7,1.4,5.7,7.1,6.7,0.9,8.8,1.1,1.3,3.3,7.8,0,0,→,2032-2038,5.49,中国香港地区中央政府公务员：就业极其稳定，准入门槛高,"Hong Kong (China) Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-SG-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东南亚,新加坡,SG,country,general,本科/硕士,22-30,global,6.2,7.5,4.3,10.0,4.2,4.6,3.5,2.9,7.4,6.0,10.0,9.3,7.3,6.4,5.7,5.6,4.1,1.9,6.4,9.3,2.7,4.6,6.3,7.1,1.9,6.3,6.8,7.2,1.2,8.6,1.2,1.4,3.5,7.8,0,-1,→,2032-2038,5.61,新加坡中央政府公务员：就业极其稳定，准入门槛高,"Singapore Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-TH-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东南亚,泰国,TH,country,general,本科/硕士,22-30,global,5.8,6.6,3.9,8.8,4.9,5.4,3.3,2.6,4.9,5.1,9.2,8.9,7.4,6.7,6.1,5.8,3.6,2.5,6.6,8.3,3.3,4.0,6.7,6.3,1.6,5.6,6.7,6.8,0.8,8.1,1.6,0.7,2.8,8.4,0,0,→,2032-2038,5.28,泰国中央政府公务员：就业极其稳定，准入门槛高,"Thailand Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-VN-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东南亚,越南,VN,country,general,本科/硕士,22-30,global,5.7,7.2,4.5,9.1,4.8,6.1,3.6,3.4,4.6,5.0,10.0,9.1,7.5,6.4,6.0,5.3,4.1,2.7,6.7,8.5,2.6,3.9,6.3,6.3,1.3,5.6,6.8,6.8,1.2,8.7,1.6,0.8,3.0,8.1,0,1,→,2032-2038,5.32,越南中央政府公务员：就业极其稳定，准入门槛高,"Vietnam Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-ID-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东南亚,印度尼西亚,ID,country,general,本科/硕士,22-30,global,5.8,6.8,4.4,9.1,5.0,5.3,3.5,3.1,5.1,4.7,9.3,9.0,7.2,6.5,5.7,5.2,3.9,2.5,6.4,8.4,3.2,3.6,6.1,6.5,1.5,5.3,6.8,7.3,0.8,8.7,1.3,1.1,2.9,8.0,0,0,→,2032-2038,5.29,印度尼西亚中央政府公务员：就业极其稳定，准入门槛高,"Indonesia Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
GOV-0101-MY-general,公共管理与公务员,GOV,中央/联邦公务员,中央政府公务员,Central Government Civil Servant,1112,11-1031.00,东南亚,马来西亚,MY,country,general,本科/硕士,22-30,global,6.2,7.2,4.2,9.5,4.7,5.0,3.6,2.7,5.7,5.0,9.7,9.2,7.4,6.1,6.2,5.2,4.0,2.3,6.7,8.7,3.0,4.2,6.0,6.2,1.2,5.5,6.6,7.3,0.8,8.5,1.6,1.0,3.0,8.2,0,0,→,2032-2038,5.34,马来西亚中央政府公务员：就业极其稳定，准入门槛高,"Malaysia Central Government Civil Servant: extremely stable employment, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准
