id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
LAW-0101-CN-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东亚,中国,CN,country,general,法学博士/硕士,25-30,global,8.1,8.4,7.9,8.0,8.0,6.8,6.6,6.4,8.9,7.4,6.2,8.9,5.2,1.4,2.7,7.0,7.1,1.9,6.2,8.9,5.7,5.7,2.0,6.5,7.7,5.9,5.9,7.2,0.8,9.2,4.1,2.8,6.7,3.8,3,2,↑,2032-2038,6.03,中国公司法律师：薪资回报高，加班文化严重,"China Corporate Lawyer: high compensation, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-JP-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东亚,日本,JP,country,general,法学博士/硕士,25-30,global,7.8,8.4,8.5,8.3,7.6,7.0,7.6,7.0,10.0,8.4,8.0,10.0,5.7,1.7,3.2,7.4,7.1,1.7,6.0,9.3,5.7,6.2,3.5,6.7,7.9,3.8,5.7,7.6,0.2,9.2,3.7,3.4,6.9,4.6,3,2,↑,2032-2038,6.43,日本公司法律师：薪资回报高，人才需求旺盛，加班文化严重,"Japan Corporate Lawyer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-KR-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东亚,韩国,KR,country,general,法学博士/硕士,25-30,global,7.8,8.0,7.9,8.1,7.0,6.6,6.6,7.2,9.8,7.9,8.5,10.0,4.7,2.7,2.9,7.8,6.1,1.7,6.0,9.1,5.4,7.2,3.0,6.9,7.7,4.4,6.5,7.6,0.7,9.4,4.3,3.0,7.1,4.2,3,2,↑,2032-2038,6.34,韩国公司法律师：薪资回报高，加班文化严重，就业稳定,"South Korea Corporate Lawyer: high compensation, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-TW-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东亚,中国台湾地区,TW,region,general,法学博士/硕士,25-30,global,7.7,8.3,7.5,8.3,7.0,5.8,6.8,7.6,9.8,7.4,8.2,10.0,5.5,2.2,2.7,7.0,6.1,1.9,6.5,8.9,4.8,7.4,3.0,6.9,7.3,5.0,6.1,7.5,0.5,9.7,4.3,2.2,6.5,4.2,3,2,↑,2032-2038,6.23,中国台湾地区公司法律师：薪资回报高，加班文化严重，就业稳定,"Taiwan (China) Corporate Lawyer: high compensation, heavy overtime culture, stable employment",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-HK-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东亚,中国香港地区,HK,region,general,法学博士/硕士,25-30,global,7.7,8.1,8.1,8.1,7.6,7.0,7.4,5.6,10.0,8.7,7.2,9.9,5.0,1.2,1.7,6.8,6.5,2.0,6.4,9.5,6.3,5.9,2.2,6.1,8.7,6.2,5.9,7.5,0.7,8.9,3.7,3.6,8.3,3.6,3,2,↑,2032-2038,6.32,中国香港地区公司法律师：薪资回报高，加班文化严重,"Hong Kong (China) Corporate Lawyer: high compensation, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-SG-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东南亚,新加坡,SG,country,general,法学博士/硕士,25-30,global,8.3,8.4,7.9,8.4,7.4,7.4,8.0,6.8,10.0,8.7,9.0,10.0,5.7,2.9,3.9,7.8,6.5,1.3,5.9,9.3,6.3,7.7,3.5,6.7,7.7,7.4,6.1,7.5,0.5,9.5,3.3,2.4,8.7,4.0,3,2,↑,2028-2033,6.71,新加坡公司法律师：薪资回报高，人才需求旺盛，加班文化严重,"Singapore Corporate Lawyer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-TH-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东南亚,泰国,TH,country,general,法学博士/硕士,25-30,global,7.7,8.1,7.3,7.5,6.4,4.2,5.4,5.2,6.2,5.4,6.7,9.2,5.5,3.2,3.4,7.4,6.3,1.9,5.7,7.9,5.4,6.7,4.5,6.9,6.9,6.2,6.9,7.0,0.8,8.6,4.5,2.2,6.1,4.6,3,1,→,2028-2033,5.71,泰国公司法律师：加班文化严重,Thailand Corporate Lawyer: heavy overtime culture,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-VN-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东南亚,越南,VN,country,general,法学博士/硕士,25-30,global,8.0,7.7,6.9,8.1,6.2,4.4,5.6,4.6,6.5,5.4,5.2,8.9,5.7,2.7,2.2,6.6,6.5,2.5,6.1,7.3,5.4,6.2,2.5,5.9,6.3,5.9,5.9,7.2,0.1,8.5,4.1,2.8,6.5,4.2,3,1,→,2032-2038,5.46,越南公司法律师：加班文化严重,Vietnam Corporate Lawyer: heavy overtime culture,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-ID-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东南亚,印度尼西亚,ID,country,general,法学博士/硕士,25-30,global,8.0,7.5,7.3,7.8,6.4,5.4,5.6,5.4,6.2,5.2,5.7,8.7,5.2,2.7,3.4,7.0,5.9,2.3,5.7,7.5,4.2,5.2,2.7,5.7,7.3,4.4,5.9,7.3,0.2,8.8,4.1,2.4,5.9,4.0,3,2,↑,2028-2033,5.43,印度尼西亚公司法律师：加班文化严重,Indonesia Corporate Lawyer: heavy overtime culture,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-MY-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东南亚,马来西亚,MY,country,general,法学博士/硕士,25-30,global,8.4,8.1,6.9,7.8,6.2,5.4,5.8,5.8,7.7,6.7,6.5,9.2,5.7,2.7,3.4,6.6,6.9,2.3,5.7,8.5,5.4,6.7,3.2,6.5,7.9,5.3,6.3,7.5,0.4,8.9,3.9,3.2,6.5,3.6,3,2,↑,2028-2033,5.84,马来西亚公司法律师：加班文化严重,Malaysia Corporate Lawyer: heavy overtime culture,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-PH-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,东南亚,菲律宾,PH,country,general,法学博士/硕士,25-30,global,8.3,8.1,6.9,7.7,7.0,5.4,5.4,5.2,6.5,5.9,6.0,8.4,5.5,2.7,3.4,7.2,6.5,2.5,6.1,7.1,4.5,4.9,2.2,6.5,7.7,6.5,6.9,7.5,0.2,8.2,3.9,3.0,6.5,3.6,3,2,↑,2032-2038,5.6,菲律宾公司法律师：加班文化严重,Philippines Corporate Lawyer: heavy overtime culture,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-IN-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,南亚,印度,IN,country,general,法学博士/硕士,25-30,global,8.3,8.6,7.9,8.0,7.6,7.0,6.2,6.0,8.3,6.9,6.7,9.4,5.5,1.7,2.9,7.2,6.9,2.3,5.9,8.5,4.8,5.4,2.2,5.9,7.5,3.8,5.9,7.6,0.2,9.4,4.3,3.2,7.1,4.4,3,2,↑,2028-2033,5.85,印度公司法律师：薪资回报高，加班文化严重,"India Corporate Lawyer: high compensation, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-PK-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,南亚,巴基斯坦,PK,country,general,法学博士/硕士,25-30,global,8.0,7.5,6.5,7.2,6.4,5.0,6.0,5.2,5.3,3.9,3.7,7.9,5.2,1.9,2.9,7.0,5.7,2.6,6.1,7.7,4.8,4.7,2.7,6.5,7.3,1.7,5.9,7.8,0.2,8.6,4.9,2.4,5.9,4.2,2,1,→,2032-2038,5.11,巴基斯坦公司法律师：加班文化严重，就业波动大,"Pakistan Corporate Lawyer: heavy overtime culture, volatile employment",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-BD-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,南亚,孟加拉国,BD,country,general,法学博士/硕士,25-30,global,7.5,7.5,6.5,7.5,5.4,4.2,5.0,5.0,5.6,3.7,4.5,8.2,5.5,2.2,1.7,6.0,6.1,2.6,6.1,7.3,3.6,5.2,2.5,5.9,6.3,3.2,6.3,7.3,0.5,8.5,4.9,3.0,5.7,4.4,2,1,→,2032-2038,5.0,孟加拉国公司法律师：加班文化严重,Bangladesh Corporate Lawyer: heavy overtime culture,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-AE-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,中亚/西亚,阿联酋,AE,country,general,法学博士/硕士,25-30,global,8.6,8.4,8.5,7.8,7.8,7.0,7.2,6.0,10.0,8.9,7.0,9.9,5.5,2.2,2.9,7.0,6.7,1.7,5.9,9.7,6.0,6.4,3.0,6.3,7.7,4.4,5.9,7.5,0.2,8.8,3.7,2.6,8.5,4.8,3,2,↑,2028-2033,6.34,阿联酋公司法律师：薪资回报高，加班文化严重,"United Arab Emirates Corporate Lawyer: high compensation, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
LAW-0101-IL-general,法律与社会服务,LAW,律师各专业,公司法律师,Corporate Lawyer,2611,23-1011.00,中亚/西亚,以色列,IL,country,general,法学博士/硕士,25-30,global,8.1,8.7,8.7,8.0,7.2,7.4,6.8,7.6,10.0,8.2,7.5,10.0,6.0,4.2,3.4,7.2,6.9,2.0,6.5,9.3,6.3,6.7,4.2,6.3,7.7,6.2,6.3,7.9,0.5,9.4,3.5,3.4,7.9,4.4,3,2,↑,2032-2038,6.59,以色列公司法律师：薪资回报高，就业稳定,"Israel Corporate Lawyer: high compensation, stable employment",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
