id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
SVC-0101-CN-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东亚,中国,CN,country,general,专科/职校,18-28,global,5.5,3.4,5.1,6.3,6.1,6.5,6.0,5.4,5.0,4.6,4.6,5.7,5.3,2.4,5.1,6.5,5.6,2.4,8.2,5.6,1.6,5.5,2.3,7.9,7.2,5.1,5.7,7.6,7.1,3.2,5.9,5.3,3.8,4.4,2,2,↑,2035+,5.4,中国中餐厨师：AI替代抗性强,China Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-JP-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东亚,日本,JP,country,general,专科/职校,18-28,global,5.7,3.3,5.9,7.1,6.6,7.0,6.0,6.3,5.3,4.5,5.4,6.0,5.5,2.6,5.8,6.4,5.8,2.3,7.9,5.6,1.3,5.6,3.2,7.7,7.1,4.6,5.3,7.8,6.8,2.9,5.5,5.2,4.2,4.3,3,2,↑,2035+,5.62,日本中餐厨师：AI替代抗性强,Japan Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-KR-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东亚,韩国,KR,country,general,专科/职校,18-28,global,5.4,3.4,5.5,6.8,5.9,6.9,6.1,5.3,5.5,4.8,5.1,5.8,5.3,2.5,5.1,6.2,5.7,2.6,8.3,5.4,1.2,5.2,3.0,7.5,7.0,4.7,5.3,7.3,7.2,3.2,5.7,5.1,4.7,4.5,2,2,↑,2035+,5.47,韩国中餐厨师：AI替代抗性强,South Korea Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-TW-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东亚,中国台湾地区,TW,region,general,专科/职校,18-28,global,5.5,3.8,5.2,6.3,5.6,6.5,5.7,5.3,4.5,4.1,4.9,6.1,5.5,2.7,5.9,5.7,5.6,2.3,8.0,5.7,1.4,5.3,3.1,7.8,6.8,5.1,5.8,7.3,7.1,3.2,6.0,5.4,4.7,4.7,2,1,→,2035+,5.37,中国台湾地区中餐厨师：薪资水平偏低，AI替代抗性强,"Taiwan (China) Chinese Cuisine Chef: relatively low pay, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-HK-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东亚,中国香港地区,HK,region,general,专科/职校,18-28,global,5.3,3.9,5.7,6.9,6.3,6.9,5.6,5.5,6.0,5.2,5.1,6.1,5.5,2.8,5.7,6.2,5.8,2.6,7.9,5.7,1.6,5.6,3.1,7.4,7.5,5.2,5.2,7.5,6.8,3.1,5.9,5.6,5.9,4.4,2,2,↑,2035+,5.63,中国香港地区中餐厨师：AI替代抗性强,Hong Kong (China) Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-SG-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东南亚,新加坡,SG,country,general,专科/职校,18-28,global,5.5,3.4,5.2,6.6,6.1,6.5,5.9,6.2,6.1,5.0,5.6,6.1,5.5,3.4,5.7,6.4,5.6,2.1,8.1,5.9,1.8,5.7,3.0,7.9,7.3,5.8,5.8,7.6,7.1,3.5,5.6,5.5,5.5,4.4,2,1,→,2035+,5.74,新加坡中餐厨师：AI替代抗性强,Singapore Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-TH-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东南亚,泰国,TH,country,general,专科/职校,18-28,global,5.7,3.5,5.4,6.4,5.6,6.3,5.8,5.4,4.6,4.5,4.8,6.0,5.3,4.0,6.5,6.3,5.6,2.6,8.1,5.0,1.5,5.7,3.3,7.3,6.8,5.4,5.2,7.5,7.1,3.1,5.8,5.5,4.5,4.6,3,1,→,2035+,5.45,泰国中餐厨师：AI替代抗性强,Thailand Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-VN-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东南亚,越南,VN,country,general,专科/职校,18-28,global,5.7,3.4,4.7,6.5,5.4,5.8,5.4,4.8,3.9,4.1,4.2,5.9,5.2,3.4,5.7,6.0,5.3,3.0,8.1,5.3,1.6,5.6,3.4,7.6,7.1,5.0,5.5,7.7,7.2,3.0,6.3,5.5,4.2,4.8,2,1,→,2035+,5.21,越南中餐厨师：薪资水平偏低，AI替代抗性强,"Vietnam Chinese Cuisine Chef: relatively low pay, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-ID-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东南亚,印度尼西亚,ID,country,general,专科/职校,18-28,global,5.5,3.7,4.9,6.4,5.1,5.7,5.4,4.8,3.7,4.0,4.2,6.0,5.7,3.4,6.0,6.1,5.4,3.0,8.1,5.1,1.3,5.5,3.1,7.2,7.3,4.5,5.5,7.4,7.0,3.0,6.0,5.3,3.8,4.6,2,1,→,2035+,5.16,印度尼西亚中餐厨师：薪资水平偏低，AI替代抗性强,"Indonesia Chinese Cuisine Chef: relatively low pay, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SVC-0101-MY-general,服务业与消费,SVC,餐饮,中餐厨师,Chinese Cuisine Chef,5120,35-1011.00,东南亚,马来西亚,MY,country,general,专科/职校,18-28,global,5.5,3.6,4.8,6.5,5.4,5.6,5.7,5.7,4.7,4.2,5.0,6.0,5.3,3.5,6.0,5.7,5.7,2.6,8.1,5.5,1.5,5.4,3.1,7.2,6.9,5.1,5.3,7.5,7.1,3.2,5.7,5.5,4.9,4.3,2,1,→,2035+,5.39,马来西亚中餐厨师：AI替代抗性强,Malaysia Chinese Cuisine Chef: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
