id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
TECH-0101-CN-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东亚,中国,CN,country,general,本科/自学,20-28,global,5.0,4.8,7.5,5.9,8.9,10.0,6.2,5.9,7.4,7.9,5.0,9.4,6.2,3.6,4.3,7.6,7.4,1.6,4.9,6.7,8.7,6.6,4.9,6.8,8.0,6.3,5.3,5.2,1.0,0.3,5.8,8.0,7.0,1.8,4,2,↑,2028-2033,6.62,中国前端工程师：远程友好度高,China Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-JP-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东亚,日本,JP,country,general,本科/自学,20-28,global,5.3,4.9,7.2,6.3,8.1,8.9,6.3,5.6,6.8,7.7,6.5,9.5,6.3,4.0,4.7,7.0,7.0,1.8,4.7,6.6,9.0,6.8,5.7,6.8,7.7,5.7,5.5,5.1,1.1,0.6,5.3,7.7,7.2,2.0,4,1,→,2028-2033,6.57,日本前端工程师：远程友好度高,Japan Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-KR-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东亚,韩国,KR,country,general,本科/自学,20-28,global,5.5,4.8,7.1,6.1,8.3,9.2,6.2,6.1,7.2,7.6,5.5,9.4,6.4,4.3,4.5,7.0,6.6,1.8,4.9,6.7,8.8,6.5,5.5,6.9,7.8,5.3,5.4,5.0,1.0,0.9,5.5,8.0,7.5,2.3,4,1,→,2028-2033,6.54,韩国前端工程师：远程友好度高,South Korea Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-TW-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东亚,中国台湾地区,TW,region,general,本科/自学,20-28,global,5.3,4.9,7.0,6.0,7.8,8.5,6.0,5.7,6.7,7.1,5.5,9.5,6.1,4.4,4.6,7.3,6.7,1.8,4.3,6.3,8.6,6.6,5.8,7.1,7.7,6.4,5.3,4.8,1.0,0.7,5.4,7.7,7.7,1.9,4,1,→,2026-2030,6.44,中国台湾地区前端工程师：远程友好度高,Taiwan (China) Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-HK-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东亚,中国香港地区,HK,region,general,本科/自学,20-28,global,5.0,4.5,6.7,6.2,7.2,8.2,5.6,4.7,7.1,7.3,5.6,9.4,6.4,4.2,4.7,6.9,6.4,2.0,4.4,6.4,9.0,6.8,5.6,6.8,7.6,6.6,5.2,5.3,1.2,0.7,5.6,8.0,8.5,2.3,4,1,→,2026-2030,6.41,中国香港地区前端工程师：远程友好度高,Hong Kong (China) Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-SG-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东南亚,新加坡,SG,country,general,本科/自学,20-28,global,5.4,4.9,7.3,6.6,8.2,8.6,6.0,5.9,7.8,8.1,6.5,9.6,6.7,4.8,5.1,7.6,6.9,1.9,4.7,6.5,9.2,7.0,5.5,6.7,7.6,6.8,5.5,5.2,1.3,0.5,5.0,8.3,9.1,1.8,4,2,↑,2028-2033,6.8,新加坡前端工程师：远程友好度高,Singapore Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-TH-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东南亚,泰国,TH,country,general,本科/自学,20-28,global,5.3,4.7,6.3,6.1,7.2,8.2,5.3,5.0,5.8,6.6,5.6,9.4,6.6,5.0,5.4,7.1,6.7,1.9,4.2,5.5,8.5,6.6,6.0,6.5,7.4,6.0,5.3,4.9,1.1,0.3,5.3,8.1,7.0,2.5,4,1,→,2026-2030,6.25,泰国前端工程师：远程友好度高,Thailand Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-VN-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东南亚,越南,VN,country,general,本科/自学,20-28,global,4.9,4.8,6.2,5.8,7.1,8.7,5.5,5.0,5.7,6.2,5.2,9.4,6.4,5.0,4.5,6.8,6.4,2.1,4.6,6.0,8.6,6.9,5.7,6.5,7.4,5.8,5.3,4.9,0.8,0.6,5.4,7.7,7.1,2.1,4,1,→,2028-2033,6.2,越南前端工程师：远程友好度高,Vietnam Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-ID-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东南亚,印度尼西亚,ID,country,general,本科/自学,20-28,global,4.9,4.6,6.1,5.7,7.4,8.7,5.3,4.9,5.4,6.5,5.1,9.4,6.5,4.8,4.9,6.9,6.3,2.1,4.4,5.7,8.3,7.2,5.6,6.5,7.4,6.0,5.6,4.9,1.1,0.6,5.5,8.1,6.7,2.0,4,1,→,2026-2030,6.17,印度尼西亚前端工程师：发展平稳,Indonesia Front-end Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TECH-0101-MY-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东南亚,马来西亚,MY,country,general,本科/自学,20-28,global,4.7,4.7,6.2,5.9,7.2,8.2,5.8,4.9,6.1,6.6,5.7,9.5,6.6,4.7,5.0,7.1,6.6,1.9,4.2,5.9,9.1,7.1,6.0,6.8,7.5,6.0,5.7,5.1,1.0,0.4,5.4,8.2,7.6,2.3,4,1,→,2026-2030,6.36,马来西亚前端工程师：远程友好度高,Malaysia Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
