id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
TRA-0101-CN-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东亚,中国,CN,country,general,航校/本科+ATPL,23-32,global,9.1,7.6,6.2,6.7,6.9,6.4,7.2,7.0,9.2,6.8,6.2,4.6,5.5,4.0,4.9,5.1,5.0,1.6,6.8,9.1,0.7,5.6,1.8,7.9,3.0,3.2,4.7,6.0,3.8,9.5,7.2,1.9,8.9,5.2,2,2,↑,2032-2038,5.48,中国民航飞行员：薪资回报高，准入门槛高，国际流动性强,"China Commercial Airline Pilot: high compensation, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-JP-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东亚,日本,JP,country,general,航校/本科+ATPL,23-32,global,9.2,8.0,6.2,6.8,6.9,6.6,7.0,7.1,9.7,6.9,7.1,5.6,5.6,4.3,4.9,5.2,5.1,1.2,7.2,9.0,0.7,5.2,2.6,7.5,3.4,2.6,4.4,6.1,4.0,9.9,6.8,2.0,8.9,4.8,2,2,↑,2032-2038,5.63,日本民航飞行员：薪资回报高，准入门槛高，国际流动性强,"Japan Commercial Airline Pilot: high compensation, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-KR-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东亚,韩国,KR,country,general,航校/本科+ATPL,23-32,global,9.4,7.7,6.1,6.7,6.7,6.1,7.1,7.4,9.3,6.8,7.1,5.2,5.7,4.2,4.6,5.0,4.5,1.3,7.4,9.0,1.0,5.2,2.3,7.8,3.4,2.5,4.1,5.9,3.8,9.4,6.7,1.9,9.4,4.8,2,2,↑,2032-2038,5.58,韩国民航飞行员：薪资回报高，准入门槛高，国际流动性强,"South Korea Commercial Airline Pilot: high compensation, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-TW-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东亚,中国台湾地区,TW,region,general,航校/本科+ATPL,23-32,global,9.0,7.7,5.7,6.6,6.0,4.9,6.7,6.2,8.8,6.6,6.5,5.0,5.6,4.6,5.0,5.0,4.7,1.0,7.1,8.6,1.0,5.1,2.7,7.8,3.2,3.0,4.5,6.2,4.0,9.7,6.7,1.9,9.3,5.1,2,1,→,2032-2038,5.43,中国台湾地区民航飞行员：薪资回报高，准入门槛高，国际流动性强,"Taiwan (China) Commercial Airline Pilot: high compensation, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-HK-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东亚,中国香港地区,HK,region,general,航校/本科+ATPL,23-32,global,9.1,7.8,5.9,6.4,6.7,6.8,7.2,7.4,9.3,7.2,7.2,5.4,5.5,4.0,4.9,5.1,4.6,1.2,7.4,9.1,0.6,5.8,2.2,7.9,3.0,3.2,4.2,6.0,4.0,9.6,7.0,1.9,10.0,5.0,2,2,↑,2032-2038,5.65,中国香港地区民航飞行员：薪资回报高，准入门槛高，国际流动性强,"Hong Kong (China) Commercial Airline Pilot: high compensation, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-SG-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东南亚,新加坡,SG,country,general,航校/本科+ATPL,23-32,global,9.3,7.6,6.6,6.8,7.1,7.2,7.6,7.3,10.0,7.0,7.4,5.8,5.6,5.0,5.2,5.2,4.6,1.1,7.0,9.3,1.1,5.4,2.6,7.9,3.4,3.8,4.7,5.9,3.8,9.7,6.8,1.8,10.0,4.8,2,2,↑,2032-2038,5.85,新加坡民航飞行员：薪资回报高，人才需求旺盛，准入门槛高,"Singapore Commercial Airline Pilot: high compensation, strong talent demand, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-TH-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东南亚,泰国,TH,country,general,航校/本科+ATPL,23-32,global,8.8,7.4,5.6,6.5,5.9,4.8,6.5,6.6,7.5,6.4,6.7,4.2,5.2,5.3,5.8,5.2,4.7,1.5,6.8,8.6,1.0,5.7,2.6,7.3,3.2,3.1,4.6,5.8,4.1,9.6,6.7,2.2,8.5,5.0,2,1,→,2032-2038,5.33,泰国民航飞行员：安全风险较高，准入门槛高，国际流动性强,"Thailand Commercial Airline Pilot: high safety risk, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-VN-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东南亚,越南,VN,country,general,航校/本科+ATPL,23-32,global,8.7,7.7,5.5,6.5,5.5,4.3,6.3,6.4,7.4,5.9,6.3,4.0,5.2,4.9,5.2,4.8,4.4,1.5,7.0,7.9,0.9,5.3,2.8,7.6,3.0,2.8,4.5,5.8,4.1,9.3,7.4,1.6,8.7,5.1,2,1,→,2032-2038,5.15,越南民航飞行员：安全风险较高，准入门槛高，国际流动性强,"Vietnam Commercial Airline Pilot: high safety risk, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-ID-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东南亚,印度尼西亚,ID,country,general,航校/本科+ATPL,23-32,global,8.7,7.4,5.5,6.5,5.7,4.6,6.0,6.2,7.6,6.4,6.3,3.9,5.1,4.7,5.4,4.9,4.6,1.6,6.9,8.3,1.2,5.7,2.7,7.8,3.0,3.0,4.6,5.7,4.0,9.1,6.9,2.0,8.6,5.0,2,1,→,2032-2038,5.23,印度尼西亚民航飞行员：安全风险较高，准入门槛高，国际流动性强,"Indonesia Commercial Airline Pilot: high safety risk, high entry barrier, high international mobility",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
TRA-0101-MY-general,交通运输与物流,TRA,航空,民航飞行员,Commercial Airline Pilot,3153,53-2011.00,东南亚,马来西亚,MY,country,general,航校/本科+ATPL,23-32,global,9.1,7.3,5.6,6.8,6.0,5.2,6.6,6.6,8.1,6.6,6.9,4.5,5.4,4.9,5.4,5.0,4.6,1.4,7.0,8.2,1.3,5.2,3.0,7.7,2.8,3.1,4.4,5.9,3.8,9.4,7.1,2.3,8.9,5.2,2,1,→,2032-2038,5.4,马来西亚民航飞行员：薪资回报高，安全风险较高，准入门槛高,"Malaysia Commercial Airline Pilot: high compensation, high safety risk, high entry barrier",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
