iso_code,country_or_region,country_en,region,region_en,type,development_stage,gdp_usd_trillion_2025,population_million_2025,labor_force_million_2025
CN,中国,China,东亚,East Asia,country,emerging,19.5,1415.0,780.0
JP,日本,Japan,东亚,East Asia,country,developed,4.3,124.5,68.0
KR,韩国,South Korea,东亚,East Asia,country,developed,1.9,51.7,28.5
TW,中国台湾地区,Taiwan (China),东亚,East Asia,region,developed,0.8,23.4,11.8
HK,中国香港地区,Hong Kong (China),东亚,East Asia,region,developed,0.4,7.5,3.8
SG,新加坡,Singapore,东南亚,Southeast Asia,country,developed,0.5,6.1,3.5
TH,泰国,Thailand,东南亚,Southeast Asia,country,emerging,0.6,71.5,39.0
VN,越南,Vietnam,东南亚,Southeast Asia,country,emerging,0.5,99.0,57.0
ID,印度尼西亚,Indonesia,东南亚,Southeast Asia,country,emerging,1.5,278.0,140.0
MY,马来西亚,Malaysia,东南亚,Southeast Asia,country,emerging,0.5,34.0,16.5
PH,菲律宾,Philippines,东南亚,Southeast Asia,country,emerging,0.5,117.0,51.0
IN,印度,India,南亚,South Asia,country,emerging,4.3,1450.0,580.0
PK,巴基斯坦,Pakistan,南亚,South Asia,country,developing,0.4,240.0,85.0
BD,孟加拉国,Bangladesh,南亚,South Asia,country,developing,0.5,175.0,75.0
AE,阿联酋,United Arab Emirates,中亚/西亚,Central/West Asia,country,developed,0.5,9.8,6.2
IL,以色列,Israel,中亚/西亚,Central/West Asia,country,developed,0.5,9.7,4.5
SA,沙特阿拉伯,Saudi Arabia,中亚/西亚,Central/West Asia,country,emerging,1.1,36.5,16.0
TR,土耳其,Turkey,中亚/西亚,Central/West Asia,country,emerging,1.3,86.0,33.0
GB,英国,United Kingdom,西欧,Western Europe,country,developed,3.2,68.5,34.0
FR,法国,France,西欧,Western Europe,country,developed,3.1,68.4,30.5
DE,德国,Germany,西欧,Western Europe,country,developed,4.5,84.5,46.0
NL,荷兰,Netherlands,西欧,Western Europe,country,developed,1.1,17.9,9.5
CH,瑞士,Switzerland,西欧,Western Europe,country,developed,0.9,8.8,5.1
SE,瑞典,Sweden,北欧,Northern Europe,country,developed,0.6,10.6,5.6
DK,丹麦,Denmark,北欧,Northern Europe,country,developed,0.4,5.9,3.1
FI,芬兰,Finland,北欧,Northern Europe,country,developed,0.3,5.6,2.8
IT,意大利,Italy,南欧,Southern Europe,country,developed,2.2,59.5,25.5
ES,西班牙,Spain,南欧,Southern Europe,country,developed,1.6,47.5,23.5
PT,葡萄牙,Portugal,南欧,Southern Europe,country,developed,0.3,10.3,5.2
PL,波兰,Poland,东欧,Eastern Europe,country,emerging,0.8,38.5,17.5
CZ,捷克,Czech Republic,东欧,Eastern Europe,country,developed,0.4,10.9,5.4
RU,俄罗斯,Russia,东欧,Eastern Europe,country,emerging,2.1,144.0,74.0
US,美国,United States,北美,North America,country,developed,28.5,340.0,168.0
CA,加拿大,Canada,北美,North America,country,developed,2.3,40.5,21.0
MX,墨西哥,Mexico,北美,North America,country,emerging,1.8,130.0,60.0
BR,巴西,Brazil,南美,South America,country,emerging,2.4,215.0,109.0
AR,阿根廷,Argentina,南美,South America,country,emerging,0.7,46.5,20.5
CL,智利,Chile,南美,South America,country,emerging,0.4,19.5,9.2
CO,哥伦比亚,Colombia,南美,South America,country,emerging,0.4,52.0,25.5
AU,澳大利亚,Australia,大洋洲,Oceania,country,developed,1.8,27.0,14.5
NZ,新西兰,New Zealand,大洋洲,Oceania,country,developed,0.3,5.2,2.8
ZA,南非,South Africa,非洲,Africa,country,emerging,0.4,62.0,24.5
NG,尼日利亚,Nigeria,非洲,Africa,country,developing,0.5,225.0,70.0
KE,肯尼亚,Kenya,非洲,Africa,country,developing,0.1,56.0,26.0
EG,埃及,Egypt,非洲,Africa,country,developing,0.5,105.0,35.0
