project_id_prefix,sub_category_zh,sub_category_en,major_code,isco_code,isco_description
TECH-0101,前端工程师,Front-end Engineer,TECH,2514,
TECH-0102,后端工程师,Back-end Engineer,TECH,2514,
TECH-0103,全栈工程师,Full-stack Engineer,TECH,2514,
TECH-0104,移动应用开发工程师,Mobile App Developer,TECH,2514,
TECH-0105,嵌入式软件工程师,Embedded Software Engineer,TECH,2514,
TECH-0106,DevOps工程师,DevOps Engineer,TECH,2522,
TECH-0107,软件测试工程师,Software QA Engineer,TECH,2519,
TECH-0108,软件架构师,Software Architect,TECH,2512,
TECH-0109,站点可靠性工程师(SRE),Site Reliability Engineer (SRE),TECH,2522,
TECH-0110,低代码/无代码开发者,Low-Code/No-Code Developer,TECH,2514,
TECH-0111,游戏服务器工程师,Game Server Engineer,TECH,2514,
TECH-0112,数据库管理员,Database Administrator,TECH,2521,
TECH-0113,技术支持工程师,Technical Support Engineer,TECH,2519,
TECH-0201,机器学习工程师,Machine Learning Engineer,TECH,2511,
TECH-0202,数据科学家,Data Scientist,TECH,2120,
TECH-0203,数据分析师,Data Analyst,TECH,2120,
TECH-0204,数据工程师,Data Engineer,TECH,2523,
TECH-0205,NLP工程师,NLP Engineer,TECH,2511,
TECH-0206,计算机视觉工程师,Computer Vision Engineer,TECH,2511,
TECH-0207,AI研究科学家,AI Research Scientist,TECH,2120,
TECH-0208,大数据架构师,Big Data Architect,TECH,2523,
TECH-0301,网络工程师,Network Engineer,TECH,2523,
TECH-0302,信息安全工程师,Cybersecurity Engineer,TECH,2529,
TECH-0303,渗透测试工程师,Penetration Tester,TECH,2529,
TECH-0304,安全运维工程师,Security Operations Engineer,TECH,2529,
TECH-0305,云计算工程师,Cloud Engineer,TECH,2523,
TECH-0306,系统管理员,System Administrator,TECH,2522,
TECH-0401,产品经理,Product Manager,TECH,2511,
TECH-0402,UI设计师,UI Designer,TECH,2166,
TECH-0403,UX设计师,UX Designer,TECH,2166,
TECH-0404,交互设计师,Interaction Designer,TECH,2166,
