project_id_prefix,sub_category_zh,sub_category_en,major_code,onet_code
TECH-0101,前端工程师,Front-end Engineer,TECH,15-1254.00
TECH-0102,后端工程师,Back-end Engineer,TECH,15-1252.00
TECH-0103,全栈工程师,Full-stack Engineer,TECH,15-1252.00
TECH-0104,移动应用开发工程师,Mobile App Developer,TECH,15-1252.00
TECH-0105,嵌入式软件工程师,Embedded Software Engineer,TECH,15-1252.00
TECH-0106,DevOps工程师,DevOps Engineer,TECH,15-1244.00
TECH-0107,软件测试工程师,Software QA Engineer,TECH,15-1253.00
TECH-0108,软件架构师,Software Architect,TECH,15-1251.00
TECH-0109,站点可靠性工程师(SRE),Site Reliability Engineer (SRE),TECH,15-1244.00
TECH-0110,低代码/无代码开发者,Low-Code/No-Code Developer,TECH,15-1252.00
TECH-0111,游戏服务器工程师,Game Server Engineer,TECH,15-1252.00
TECH-0112,数据库管理员,Database Administrator,TECH,15-1242.00
TECH-0113,技术支持工程师,Technical Support Engineer,TECH,15-1232.00
TECH-0201,机器学习工程师,Machine Learning Engineer,TECH,15-2051.00
TECH-0202,数据科学家,Data Scientist,TECH,15-2051.00
TECH-0203,数据分析师,Data Analyst,TECH,15-2051.00
TECH-0204,数据工程师,Data Engineer,TECH,15-1243.00
TECH-0205,NLP工程师,NLP Engineer,TECH,15-2051.00
TECH-0206,计算机视觉工程师,Computer Vision Engineer,TECH,15-2051.00
TECH-0207,AI研究科学家,AI Research Scientist,TECH,15-2051.00
TECH-0208,大数据架构师,Big Data Architect,TECH,15-1243.00
TECH-0301,网络工程师,Network Engineer,TECH,15-1241.00
TECH-0302,信息安全工程师,Cybersecurity Engineer,TECH,15-1212.00
TECH-0303,渗透测试工程师,Penetration Tester,TECH,15-1212.00
TECH-0304,安全运维工程师,Security Operations Engineer,TECH,15-1212.00
TECH-0305,云计算工程师,Cloud Engineer,TECH,15-1244.00
TECH-0306,系统管理员,System Administrator,TECH,15-1244.00
TECH-0401,产品经理,Product Manager,TECH,15-1299.09
TECH-0402,UI设计师,UI Designer,TECH,15-1255.00
TECH-0403,UX设计师,UX Designer,TECH,15-1255.00
TECH-0404,交互设计师,Interaction Designer,TECH,15-1255.00
TECH-0405,技术项目经理,Technical Project Manager,TECH,15-1299.09
TECH-0501,区块链开发工程师,Blockchain Developer,TECH,15-1252.00
TECH-0502,物联网工程师,IoT Engineer,TECH,15-1252.00
TECH-0503,机器人流程自动化工程师,RPA Developer,TECH,15-1252.00
TECH-0504,增强现实/虚拟现实开发工程师,AR/VR Developer,TECH,15-1252.00
TECH-0505,量子计算研究员,Quantum Computing Researcher,TECH,15-2051.00
TECH-0506,AI提示工程师,AI Prompt Engineer,TECH,15-1299.09
TECH-0507,数据标注师,Data Annotator,TECH,43-9021.00
TECH-0508,数字孪生工程师,Digital Twin Engineer,TECH,15-1252.00
TECH-0509,边缘计算工程师,Edge Computing Engineer,TECH,15-1252.00
TECH-0510,Web3开发工程师,Web3 Developer,TECH,15-1252.00
TECH-0511,AI安全研究员,AI Safety Researcher,TECH,15-2051.00
TECH-0512,MLOps工程师,MLOps Engineer,TECH,15-1244.00
TECH-0513,合成数据工程师,Synthetic Data Engineer,TECH,15-2051.00
TECH-0514,数字无障碍专家,Digital Accessibility Specialist,TECH,15-1255.00
MED-0101,内科医生,Internal Medicine Physician,MED,29-1216.00
MED-0102,外科医生,Surgeon,MED,29-1241.00
MED-0103,全科医生,General Practitioner,MED,29-1215.00
MED-0104,麻醉科医生,Anesthesiologist,MED,29-1211.00
MED-0105,放射科医生,Radiologist,MED,29-1224.00
MED-0106,病理科医生,Pathologist,MED,29-1222.00
MED-0107,急诊科医生,Emergency Medicine Physician,MED,29-1214.00
MED-0108,儿科医生,Pediatrician,MED,29-1221.00
MED-0109,妇产科医生,Obstetrician/Gynecologist,MED,29-1218.00
MED-0110,心血管科医生,Cardiologist,MED,29-1212.00
MED-0111,神经内科医生,Neurologist,MED,29-1217.00
MED-0112,肿瘤科医生,Oncologist,MED,29-1243.00
MED-0113,骨科医生,Orthopedic Surgeon,MED,29-1241.00
MED-0114,泌尿科医生,Urologist,MED,29-1241.00
MED-0115,皮肤科医生,Dermatologist,MED,29-1213.00
MED-0116,耳鼻喉科医生,Otolaryngologist (ENT),MED,29-1241.00
MED-0117,整形外科医生,Plastic Surgeon,MED,29-1241.00
MED-0118,神经外科医生,Neurosurgeon,MED,29-1241.00
MED-0119,心胸外科医生,Cardiothoracic Surgeon,MED,29-1241.00
MED-0120,重症医学科医生,Intensivist (ICU Physician),MED,29-1216.00
MED-0121,内分泌科医生,Endocrinologist,MED,29-1216.00
MED-0122,肾内科医生,Nephrologist,MED,29-1216.00
MED-0123,风湿免疫科医生,Rheumatologist,MED,29-1216.00
MED-0124,消化科医生,Gastroenterologist,MED,29-1216.00
MED-0125,血液科医生,Hematologist,MED,29-1216.00
MED-0126,感染科医生,Infectious Disease Physician,MED,29-1216.00
MED-0127,呼吸科医生,Pulmonologist,MED,29-1216.00
MED-0128,老年科医生,Geriatrician,MED,29-1216.00
MED-0129,新生儿科医生,Neonatologist,MED,29-1221.00
MED-0130,运动医学科医生,Sports Medicine Physician,MED,29-1229.04
MED-0201,注册护士,Registered Nurse,MED,29-1141.00
MED-0202,护理师,Nurse Practitioner,MED,29-1171.00
MED-0203,助产士,Midwife,MED,29-1161.00
MED-0204,ICU护士,ICU Nurse,MED,29-1141.00
MED-0205,手术室护士,Operating Room Nurse,MED,29-1141.00
MED-0206,护士长,Head Nurse / Nurse Manager,MED,11-9111.00
MED-0207,社区护士,Community Health Nurse,MED,29-1141.00
MED-0208,护理助理,Nursing Assistant,MED,31-1131.00
MED-0209,麻醉护士,Nurse Anesthetist,MED,29-1151.00
MED-0210,儿科护士,Pediatric Nurse,MED,29-1141.00
